72187 81749 72303 81778
5000
1/1554(4 steps):RRRD
2/3268(4 steps):DRDD
3/4157(4 steps):URDD
4/2739(5 steps):LURDR
5/2782(5 steps):LLDRR
6/1878(7 steps):DLUURDD
7/23(8 steps):DDLLURDR
8/1253(6 steps):RRRRDD
9/3432(8 steps):DDLLURRD
10/3512(9 steps):DLURULDDR
11/3754(9 steps):LLDRRULDR
12/4498(9 steps):RDLULDRRD
13/4885(7 steps):LLDDRRR
14/731(8 steps):RULDRDDD
15/1091(10 steps):DDLURULDDR
16/2199(10 steps):UULDLURDRD
17/2418(10 steps):RUUURDLDDR
18/4716(10 steps):LURDLUURDD
19/1395(11 steps):RRRDRUULDRD
20/2210(11 steps):DDRUULLDRDR
21/2536(11 steps):UULDLDRURRD
22/3697(11 steps):DLLULDRRURD
23/206(12 steps):URULDRRULDRD
24/622(12 steps):LDRDLLURURDD
25/739(12 steps):DDRRUULLDDRR
26/2372(12 steps):UULLDRRDLURD
27/3745(10 steps):LURULDRDRR
28/4706(12 steps):RRUULLDLDRRR
29/4728(10 steps):LURDLDDDRR
30/623(11 steps):UURRDLURDRD
31/801(13 steps):RURDLDLUURRDD
32/1269(13 steps):URULLDDRULDRR
33/4116(13 steps):RULLURURDDLDR
34/126(12 steps):RULDLUURDDRD
35/135(14 steps):RRDLLDRULURDRD
36/243(12 steps):ULDLLUURRDDR
37/404(14 steps):RDDLURULDRURDD
38/1774(12 steps):ULULLDRRURDD
39/2167(12 steps):DDLULUURRDDD
40/2474(12 steps):DLDLUULDRRRD
41/2498(12 steps):RDLULLURRRDD
42/3684(14 steps):DDLLURRDLUURDD
43/4094(14 steps):DDLURULLDRURDD
44/4630(12 steps):DRUULULDRDDR
45/4905(12 steps):LURULDRRURDD
46/332(15 steps):RDLURURULDLDRDR
47/741(13 steps):DRRULLDRURDDR
48/952(13 steps):LDDDLUUURDDDR
49/2387(15 steps):LDDRRUULLDDRURD
50/4365(15 steps):RURRULDDRULURDD
51/4405(15 steps):DRDLUURDLULDRRD
52/7(16 steps):ULDRUULDDRUULDDR
53/473(16 steps):LDRURRDLDRUULDDR
54/841(16 steps):DRULLURRDLDLURRD
55/1267(16 steps):LLLURURRDDLLURRD
56/1948(16 steps):DDLURURDDRUULDRD
57/3077(16 steps):LDDLULDRRRULURDD
58/3107(16 steps):LDRDRDLURULLDRDR
59/3179(14 steps):DRDDLLUUURDRDD
60/3219(16 steps):DDLDRURDLUULDDRR
61/3632(16 steps):DRRDLLUURDDLURRD
62/3979(14 steps):ULULDRURRRDLDR
63/4202(16 steps):RULDRRULULDRURDD
64/97(15 steps):URDRRURDDLUURDD
65/893(17 steps):RDLULDRURRDLUURDD
66/1628(17 steps):ULDLLDRRRUULDLDRR
67/2126(15 steps):ULDRRULDLURRDDD
68/2620(15 steps):LULDDRULURDDRRR
69/2998(15 steps):URDRULULDRDLDRR
70/3749(17 steps):DLLDLDRRRUUULDRDD
71/4037(17 steps):RDDLLDDRRUULLDDRR
72/4227(15 steps):DDDRRUUULLDDDRR
73/747(16 steps):RDDDRUUULDDDLDRR
74/1440(16 steps):RDDLLULDRUURRRDD
75/1885(18 steps):LDRRURDLDRULURDLDR
76/1914(18 steps):DDLULDRURDLULDRURD
77/2140(16 steps):RDDRULDLLUURRRDD
78/2516(18 steps):RRURDDLUURDLULDDRR
79/2837(14 steps):DLULLDRDLDRDRR
80/2907(18 steps):LLLLUURRDDRUURDLDR
81/2942(16 steps):UULLDDRRURRDLURD
82/3488(18 steps):DDRRULDLURRDLULDRR
83/3983(16 steps):ULDDLUURDRUURDDD
84/4028(18 steps):RDLULURRDDLLURURDD
85/4518(18 steps):DLDRRUULDRDLULDRRR
86/45(17 steps):DRRUUULDLURDLDDRR
87/1159(19 steps):URURRDDLLULDRUURRDD
88/1340(19 steps):RRULLDDRURDLURULDRD
89/2030(17 steps):DRULURDDLUURDRRDR
90/3248(21 steps):URULDRDRDLUURDLDRULDR
91/4038(17 steps):UURRDDDLLUUURRDDD
92/4105(19 steps):DRULDDRUULLDRURDLDR
93/4647(19 steps):LURRURDDRULLDRUURDD
94/4574(21 steps):LDRDRULDLUURRDLDRULDR
95/151(18 steps):LULDRRRRUULLLDDRRR
96/4022(19 steps):URDLLURDRULLDRUURDD
97/310(20 steps):LUURRRDLDRULLDRUURDD
98/348(18 steps):ULLDRRULLUURRDDLDR
99/435(18 steps):DLURDLDRULURDDRURD
100/517(16 steps):ULDRULLDRURDDRDD
101/445(20 steps):UULDDLURULDRURDDLURD
102/1559(20 steps):DRULULDRURDDLULURRDD
103/2360(20 steps):DLLUUURDDDDRUULLDRRD
104/2564(18 steps):ULDLDDRRULUULDRRDD
105/3174(20 steps):LDRRULLDRRDDLUULDDRR
106/3422(18 steps):LDDRRDLURUULLDDRRD
107/3575(20 steps):RULURRDDLLUURDRULDDR
